Date,Source,Site ID,POC,NO2,Units,AQI,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
01/15/2018,AQS,360290005,3,35.2,ppb,33,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
01/16/2018,AQS,360290005,3,33.6,ppb,31,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
01/17/2018,AQS,360290005,3,18.8,ppb,17,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
01/18/2018,AQS,360290005,3,22.7,ppb,21,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
01/19/2018,AQS,360290005,3,21.6,ppb,20,BUFFALO,19,79,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
01/20/2018,AQS,360290005,3,10.7,ppb,9,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
01/21/2018,AQS,360290005,3,35.6,ppb,33,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
01/22/2018,AQS,360290005,3,34.3,ppb,32,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
01/23/2018,AQS,360290005,3,23.7,ppb,22,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
01/25/2018,AQS,360290005,3,34.3,ppb,32,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
01/26/2018,AQS,360290005,3,34.4,ppb,32,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
01/27/2018,AQS,360290005,3,7.6,ppb,7,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
01/28/2018,AQS,360290005,3,32.8,ppb,30,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
01/30/2018,AQS,360290005,3,32,ppb,30,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
01/31/2018,AQS,360290005,3,36.5,ppb,34,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
02/01/2018,AQS,360290005,3,14,ppb,13,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
02/02/2018,AQS,360290005,3,8.2,ppb,8,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
