Date,Source,Site ID,POC,CO,Units,AQI,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
01/17/2021,AQS,360810124,1,0.2,ppm,2,QUEENS COLLEGE 2,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,81,Queens,40.73614,-73.82153
01/18/2021,AQS,360810124,1,0.3,ppm,3,QUEENS COLLEGE 2,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,81,Queens,40.73614,-73.82153
01/19/2021,AQS,360810124,1,0.3,ppm,3,QUEENS COLLEGE 2,10,42,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,81,Queens,40.73614,-73.82153
01/20/2021,AQS,360810124,1,0.4,ppm,5,QUEENS COLLEGE 2,22,92,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,81,Queens,40.73614,-73.82153
01/21/2021,AQS,360810124,1,0.5,ppm,6,QUEENS COLLEGE 2,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,81,Queens,40.73614,-73.82153
01/22/2021,AQS,360810124,1,0.6,ppm,7,QUEENS COLLEGE 2,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,81,Queens,40.73614,-73.82153
01/23/2021,AQS,360810124,1,0.2,ppm,2,QUEENS COLLEGE 2,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,81,Queens,40.73614,-73.82153
01/24/2021,AQS,360810124,1,0.2,ppm,2,QUEENS COLLEGE 2,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,81,Queens,40.73614,-73.82153
01/25/2021,AQS,360810124,1,0.3,ppm,3,QUEENS COLLEGE 2,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,81,Queens,40.73614,-73.82153
01/26/2021,AQS,360810124,1,0.3,ppm,3,QUEENS COLLEGE 2,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,81,Queens,40.73614,-73.82153
01/27/2021,AQS,360810124,1,0.4,ppm,5,QUEENS COLLEGE 2,18,75,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,81,Queens,40.73614,-73.82153
01/28/2021,AQS,360810124,1,0.2,ppm,2,QUEENS COLLEGE 2,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,81,Queens,40.73614,-73.82153
01/29/2021,AQS,360810124,1,0.2,ppm,2,QUEENS COLLEGE 2,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,81,Queens,40.73614,-73.82153
01/30/2021,AQS,360810124,1,0.2,ppm,2,QUEENS COLLEGE 2,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,81,Queens,40.73614,-73.82153
01/31/2021,AQS,360810124,1,0.3,ppm,3,QUEENS COLLEGE 2,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,81,Queens,40.73614,-73.82153
02/01/2021,AQS,360810124,1,0.2,ppm,2,QUEENS COLLEGE 2,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,81,Queens,40.73614,-73.82153
02/02/2021,AQS,360810124,1,0.3,ppm,3,QUEENS COLLEGE 2,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,81,Queens,40.73614,-73.82153
02/03/2021,AQS,360810124,1,0.3,ppm,3,QUEENS COLLEGE 2,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,81,Queens,40.73614,-73.82153
02/04/2021,AQS,360810124,1,0.5,ppm,6,QUEENS COLLEGE 2,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,81,Queens,40.73614,-73.82153
